id,date,region,state,state_code,sector,station_type,station_name,station_unit,monitored_capacity,planned_generation,actual_generation,capacity_utilization
31906,10/5/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,7.03,0.6792270531400966
32019,10/5/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,13.54,1.354
32020,10/5/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
32143,10/5/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,21.75,1.8124999999999998
32252,10/6/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,13.19,0.8793333333333333
32275,10/6/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,17.03,1.2852830188679247
32288,10/6/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,9.02,0.902
32298,10/6/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,17.59,1.1726666666666667
32407,10/6/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.14,0.714
32609,10/6/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
32637,10/6/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
32641,10/6/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,23.7,2.0653594771241828
32701,10/6/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,0.89,0.08900000000000001
32742,10/6/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,6.95,0.6950000000000001
32801,10/6/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.64,13.08,0.5891891891891892
32884,10/6/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,6.39,0.6173913043478261
32997,10/6/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,14.23,1.423
32998,10/6/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
33121,10/6/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,21.77,1.8141666666666667
